timestamp,mac,rssi
2025-04-21T22:27:13Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:14Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:15Z,88:c6:26:3f:3b:75,-90
2025-04-21T22:27:19Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:20Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:22Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:23Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:24Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:25Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:26Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:28Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:30Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:31Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:33Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:35Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:36Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:37Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:39Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:40Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:43Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:44Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:27:45Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:46Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:47Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:27:48Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:51Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:27:53Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:27:54Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:55Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:57Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:27:58Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:59Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:00Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:28:02Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:28:04Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:28:05Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:28:07Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:08Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:10Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:12Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:13Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:28:15Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:16Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:17Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:28:18Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:19Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:20Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:21Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:22Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:23Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:25Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:26Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:27Z,88:c6:26:3f:3b:75,-90
2025-04-21T22:28:29Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:28:31Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:32Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:33Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:34Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:35Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:28:36Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:38Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:28:40Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:43Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:28:44Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:28:45Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:28:46Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:28:47Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:28:48Z,88:c6:26:3f:3b:75,-84
